fra,name,first,last,valid_records,union_episodes,median_min,p90_min,p99_min,over_30_pct,top_1pct_time_share_pct,over_30_time_share_pct,span_days,eligible_days,union_blocked_hours,blocked_pct_span,blocked_pct_eligible,gaps_over24h,gap_days
288129A,Commerce Street,2022-09-07 17:57:00,2026-09-20 18:42:30.000,35603,35522,6.88,14.5,45.19220000000016,2.356286245143855,8.482928833719376,14.079626377292069,1474.0315972222222,1469.7936944444443,5163.711833333171,14.59633973434961,14.638425823669087,2,4.23790277777783
755640L,Hirsch Road,2023-03-31 14:19:00,2026-09-20 18:38:39.000,11983,11240,7.75,55.484000000000016,184.3978000000006,18.15836298932384,14.26429462548449,71.62895619922243,1269.1803125,1104.1607430555557,3732.9968333332854,12.25527477776884,14.08685607602644,14,165.01956944444424
288224V,Leeland Street,2023-02-15 08:50:00,2026-09-20 18:08:18.000,31772,31067,5.180000000000001,11.938000000000029,68.0738,3.5890172852222615,16.88489952323091,32.51054151927097,1313.3877083333334,1208.734,3927.367166666501,12.459405366200736,13.538156336390323,7,104.6537083333334
859523F,Lockwood Street,2022-09-08 00:53:00,2026-09-20 18:51:06.000,11535,11508,7.9,21.2,113.28850000000013,7.212374000695168,15.39927493686655,40.96405694568465,1473.7486805555557,1459.6072708333331,2504.0118333332857,7.0794856521640055,7.148075271598203,2,14.141409722222468
755709E,Market Street,2022-09-15 13:07:00,2026-04-17 04:53:21.000,24485,23775,4.52,18.692000000000043,98.60899999998743,5.770767613038907,15.618557369994507,41.143464651383795,1309.6571875,1302.7392916666668,3981.1316666665466,12.665947065716853,12.733206649419932,2,6.917895833333346
288039B,Polk Street,2022-11-09 14:39:00,2026-09-20 06:02:48.000,16563,16213,3.8,12.770000000000001,101.81799999999991,4.36069820514402,25.502991803707328,46.56981471072858,1410.6415277777778,1371.0627013888889,2266.0243333332774,6.693244080534902,6.886459711864961,10,39.57882638888889
288051H,Telephone Road,2025-05-12 04:45:38,2026-09-20 18:46:22.800,2111,2094,3.2800000000000002,15.235000000000001,70.16440000000031,4.2502387774594075,37.90131826386049,52.557322498942824,496.5838518518519,305.2843449074074,329.1028888888794,2.761390713619283,4.491753540303224,63,191.29950694444446
859517C,York Street,2022-09-09 21:25:00,2026-09-20 18:46:55.200,18952,18743,1.63,13.129999999999999,60.78159999999902,2.6943392199754572,19.2353691718291,30.45531946159052,1471.890222222222,1432.7014097222223,1959.891333333238,5.548113416066689,5.6998714690116685,28,39.188812499999926
