name,suspect_days,retained_blocked_pct,excluded_blocked_pct,excluded_eligible_days
Commerce Street,0,14.638425823207305,14.638425823207305,0.0
Hirsch Road,4,14.08685607584423,14.023802848172679,3.9247708333333335
Leeland Street,0,13.538156335820203,13.538156335820203,0.0
Lockwood Street,0,7.148075271461952,7.148075271461952,0.0
Market Street,0,12.733206649035619,12.733206649035619,0.0
Polk Street,0,6.886459711694609,6.886459711694609,0.0
Telephone Road,0,4.49175354017445,4.49175354017445,0.0
York Street,3,5.699871468735661,5.695765349487172,3.0
