name,horizon_min,split,model,train_samples,samples,target_blocked_pct,brier,brier_skill
Commerce Street,5,validation,hour_of_week,242496,52127,15.947589540928886,0.13389812451085253,0.0
Commerce Street,5,validation,persistence,242496,52127,15.947589540928886,0.1625453220020335,-0.21394771282893577
Commerce Street,5,validation,current_state_probability,242496,52127,15.947589540928886,0.11356284305029397,0.15187129420106527
Commerce Street,5,test,hour_of_week,242496,128672,15.012590151703556,0.12748161551136142,0.0
Commerce Street,5,test,persistence,242496,128672,15.012590151703556,0.15647537925889082,-0.22743486291123616
Commerce Street,5,test,current_state_probability,242496,128672,15.012590151703556,0.10887040211060993,0.14599135197728041
Commerce Street,10,validation,hour_of_week,242493,52126,15.947895484019492,0.1339006343543552,0.0
Commerce Street,10,validation,persistence,242493,52126,15.947895484019492,0.23592832751410045,-0.7619657192193634
Commerce Street,10,validation,current_state_probability,242493,52126,15.947895484019492,0.1323770245744017,0.01137865990926834
Commerce Street,10,test,hour_of_week,242493,128671,15.011929650037692,0.1274764209815723,0.0
Commerce Street,10,test,persistence,242493,128671,15.011929650037692,0.22817107195871641,-0.7899080488908634
Commerce Street,10,test,current_state_probability,242493,128671,15.011929650037692,0.12659499157847365,0.0069144505023880365
Commerce Street,15,validation,hour_of_week,242490,52125,15.948201438848923,0.1339031008903026,0.0
Commerce Street,15,validation,persistence,242490,52125,15.948201438848923,0.24677218225419664,-0.8429161133195842
Commerce Street,15,validation,current_state_probability,242490,52125,15.948201438848923,0.13330880084688956,0.0044382843971619845
Commerce Street,15,test,hour_of_week,242490,128670,15.011269138105229,0.12747123841021887,0.0
Commerce Street,15,test,persistence,242490,128670,15.011269138105229,0.23913888241237274,-0.8760222729051474
Commerce Street,15,test,current_state_probability,242490,128670,15.011269138105229,0.12734119406743766,0.0010201857642797574
Commerce Street,30,validation,hour_of_week,242481,52122,15.949119373776908,0.13391120689150507,0.0
Commerce Street,30,validation,persistence,242481,52122,15.949119373776908,0.2535205863167185,-0.893199174301528
Commerce Street,30,validation,current_state_probability,242481,52122,15.949119373776908,0.13369905840853358,0.001584247412118156
Commerce Street,30,test,hour_of_week,242481,128667,15.011619140883054,0.1274743574442218,0.0
Commerce Street,30,test,persistence,242481,128667,15.011619140883054,0.24165481436576589,-0.8957131395740145
Commerce Street,30,test,current_state_probability,242481,128667,15.011619140883054,0.12728343043198284,0.001497767990887966
Commerce Street,60,validation,hour_of_week,242463,52116,15.950955560672348,0.13392513933105016,0.0
Commerce Street,60,validation,persistence,242463,52116,15.950955560672348,0.2655614398649167,-0.9829095656826174
Commerce Street,60,validation,current_state_probability,242463,52116,15.950955560672348,0.13407594407351128,-0.0011260375999186945
Commerce Street,60,test,hour_of_week,242463,128661,15.01231919540498,0.12747998995758125,0.0
Commerce Street,60,test,persistence,242463,128661,15.01231919540498,0.24985815437467454,-0.959979401142206
Commerce Street,60,test,current_state_probability,242463,128661,15.01231919540498,0.12756415181898403,-0.0006601966428674277
Hirsch Road,5,validation,hour_of_week,138835,51542,11.930076442512902,0.10887293979416413,0.0
Hirsch Road,5,validation,persistence,138835,51542,11.930076442512902,0.05290830778782352,0.5140361977195407
Hirsch Road,5,validation,current_state_probability,138835,51542,11.930076442512902,0.04739941724339681,0.5646354609969158
Hirsch Road,5,test,hour_of_week,138835,127608,12.626167638392577,0.1139650561077661,0.0
Hirsch Road,5,test,persistence,138835,127608,12.626167638392577,0.047716444110087144,0.5813063605657671
Hirsch Road,5,test,current_state_probability,138835,127608,12.626167638392577,0.043089631986326316,0.6219048763019036
Hirsch Road,10,validation,hour_of_week,138825,51539,11.926890316071324,0.10885061465410258,0.0
Hirsch Road,10,validation,persistence,138825,51539,11.926890316071324,0.08878713207473951,0.18432126123604642
Hirsch Road,10,validation,current_state_probability,138825,51539,11.926890316071324,0.07272997961757144,0.3318367576638186
Hirsch Road,10,test,hour_of_week,138825,127604,12.624212407134571,0.11394821217897684,0.0
Hirsch Road,10,test,persistence,138825,127604,12.624212407134571,0.0847779066486944,0.25599616678904147
Hirsch Road,10,test,current_state_probability,138825,127604,12.624212407134571,0.07013008385798232,0.38454423709755103
Hirsch Road,15,validation,hour_of_week,138816,51536,11.92564420987271,0.10884084760523155,0.0
Hirsch Road,15,validation,persistence,138816,51536,11.92564420987271,0.10718720894132257,0.015193180688070074
Hirsch Road,15,validation,current_state_probability,138816,51536,11.92564420987271,0.08256332544430804,0.24143070124033517
Hirsch Road,15,test,hour_of_week,138816,127600,12.623040752351097,0.11393609333366045,0.0
Hirsch Road,15,test,persistence,138816,127600,12.623040752351097,0.10924764890282132,0.04114977347089721
Hirsch Road,15,test,current_state_probability,138816,127600,12.623040752351097,0.08448571248791052,0.258481574925558
Hirsch Road,30,validation,hour_of_week,138789,51527,11.921905020668776,0.10881341066650033,0.0
Hirsch Road,30,validation,persistence,138789,51527,11.921905020668776,0.14466202185262095,-0.3294503036578109
Hirsch Road,30,validation,current_state_probability,138789,51527,11.921905020668776,0.0982287639176758,0.09727336625138205
Hirsch Road,30,test,hour_of_week,138789,127588,12.619525347211336,0.11390637632709329,0.0
Hirsch Road,30,test,persistence,138789,127588,12.619525347211336,0.14973978744082517,-0.31458652508471285
Hirsch Road,30,test,current_state_probability,138789,127588,12.619525347211336,0.1019003295284458,0.10540276309177765
Hirsch Road,60,validation,hour_of_week,138735,51509,11.914422722242715,0.10876634608952038,0.0
Hirsch Road,60,validation,persistence,138735,51509,11.914422722242715,0.18282241938302043,-0.6808730453494138
Hirsch Road,60,validation,current_state_probability,138735,51509,11.914422722242715,0.10702838196352991,0.01597887755243732
Hirsch Road,60,test,hour_of_week,138735,127564,12.621899595497164,0.11392147098158967,0.0
Hirsch Road,60,test,persistence,138735,127564,12.621899595497164,0.19075130914678123,-0.6744105172027466
Hirsch Road,60,test,current_state_probability,138735,127564,12.621899595497164,0.11166796217286215,0.019781247462049456
Leeland Street,5,validation,hour_of_week,167315,52127,14.217200299269091,0.12123206798785144,0.0
Leeland Street,5,validation,persistence,167315,52127,14.217200299269091,0.12592322596734898,-0.038695685534025914
Leeland Street,5,validation,current_state_probability,167315,52127,14.217200299269091,0.09370934225850182,0.2270251278078309
Leeland Street,5,test,hour_of_week,167315,128665,13.714685423386314,0.11832709284152775,0.0
Leeland Street,5,test,persistence,167315,128665,13.714685423386314,0.11833054832316481,-2.9202793325522336e-05
Leeland Street,5,test,current_state_probability,167315,128665,13.714685423386314,0.08890171781272849,0.24867825552181755
Leeland Street,10,validation,hour_of_week,167308,52126,14.21747304608065,0.12123356053477845,0.0
Leeland Street,10,validation,persistence,167308,52126,14.21747304608065,0.17718604918850478,-0.46152639918280025
Leeland Street,10,validation,current_state_probability,167308,52126,14.21747304608065,0.11316527853216829,0.06655155525433565
Leeland Street,10,test,hour_of_week,167308,128664,13.714792016414847,0.11832774925098714,0.0
Leeland Street,10,test,persistence,167308,128664,13.714792016414847,0.17089473356960766,-0.4442490003517241
Leeland Street,10,test,current_state_probability,167308,128664,13.714792016414847,0.10951895759520114,0.0744440058358713
Leeland Street,15,validation,hour_of_week,167301,52125,14.217745803357316,0.12123516924230306,0.0
Leeland Street,15,validation,persistence,167301,52125,14.217745803357316,0.187242206235012,-0.5444545292033696
Leeland Street,15,validation,current_state_probability,167301,52125,14.217745803357316,0.11555071587870815,0.04688782470566644
Leeland Street,15,test,hour_of_week,167301,128663,13.714898611100315,0.1183276516615741,0.0
Leeland Street,15,test,persistence,167301,128663,13.714898611100315,0.18317620450323713,-0.5480422532776592
Leeland Street,15,test,current_state_probability,167301,128663,13.714898611100315,0.11257307623978283,0.04863254988149157
Leeland Street,30,validation,hour_of_week,167280,52122,14.218564137983961,0.1212420376707218,0.0
Leeland Street,30,validation,persistence,167280,52122,14.218564137983961,0.20682245500940102,-0.7058642281409435
Leeland Street,30,validation,current_state_probability,167280,52122,14.218564137983961,0.11931467174279654,0.015896845392517567
Leeland Street,30,test,hour_of_week,167280,128660,13.715218405098708,0.11833015841763186,0.0
Leeland Street,30,test,persistence,167280,128660,13.715218405098708,0.20057515933468056,-0.6950468250602269
Leeland Street,30,test,current_state_probability,167280,128660,13.715218405098708,0.11581683735806522,0.021239902770147423
Leeland Street,60,validation,hour_of_week,167241,52116,14.220201089876431,0.12125539905447383,0.0
Leeland Street,60,validation,persistence,167241,52116,14.220201089876431,0.22607260726072606,-0.8644333285247219
Leeland Street,60,validation,current_state_probability,167241,52116,14.220201089876431,0.12151418123144192,-0.0021341909637511147
Leeland Street,60,test,hour_of_week,167241,128654,13.715858037837922,0.11833584294664884,0.0
Leeland Street,60,test,persistence,167241,128654,13.715858037837922,0.21905265285183514,-0.8511099206906736
Leeland Street,60,test,current_state_probability,167241,128654,13.715858037837922,0.1179443033572899,0.00330871509095898
Lockwood Street,5,validation,hour_of_week,243324,48364,6.426267471673146,0.06094863061077101,0.0
Lockwood Street,5,validation,persistence,243324,48364,6.426267471673146,0.056384914399139854,0.07487807627337639
Lockwood Street,5,validation,current_state_probability,243324,48364,6.426267471673146,0.045009400907632904,0.26151907833547416
Lockwood Street,5,test,hour_of_week,243324,128674,5.978674790555979,0.05754096184795876,0.0
Lockwood Street,5,test,persistence,243324,128674,5.978674790555979,0.05480516654491195,0.047545178516056774
Lockwood Street,5,test,current_state_probability,243324,128674,5.978674790555979,0.04356752019939071,0.24284337973859838
Lockwood Street,10,validation,hour_of_week,243322,48362,6.424465489433853,0.0609362295968268,0.0
Lockwood Street,10,validation,persistence,243322,48362,6.424465489433853,0.0906496836359125,-0.48761556525041394
Lockwood Street,10,validation,current_state_probability,243322,48362,6.424465489433853,0.060610204340238165,0.0053502695973433045
Lockwood Street,10,test,hour_of_week,243322,128673,5.978721254653268,0.05754134116210061,0.0
Lockwood Street,10,test,persistence,243322,128673,5.978721254653268,0.08908628849875265,-0.5482136269258355
Lockwood Street,10,test,current_state_probability,243322,128673,5.978721254653268,0.0589047129559924,-0.02369377853135224
Lockwood Street,15,validation,hour_of_week,243320,48360,6.4247311827957,0.06093831335927321,0.0
Lockwood Street,15,validation,persistence,243320,48360,6.4247311827957,0.10502481389578164,-0.7234611216852727
Lockwood Street,15,validation,current_state_probability,243320,48360,6.4247311827957,0.06431520985787846,-0.055414997764971385
Lockwood Street,15,test,hour_of_week,243320,128672,5.978767719472768,0.05754153234897679,0.0
Lockwood Street,15,test,persistence,243320,128672,5.978767719472768,0.10198800049738871,-0.7724241314752243
Lockwood Street,15,test,current_state_probability,243320,128672,5.978767719472768,0.061774353708003715,-0.07356115115871065
Lockwood Street,30,validation,hour_of_week,243314,48354,6.4255283947553465,0.06094459531935459,0.0
Lockwood Street,30,validation,persistence,243314,48354,6.4255283947553465,0.11279315051495223,-0.85074902743889
Lockwood Street,30,validation,current_state_probability,243314,48354,6.4255283947553465,0.06375881470000977,-0.046176685002311535
Lockwood Street,30,test,hour_of_week,243314,128669,5.977352742307782,0.05752896841672547,0.0
Lockwood Street,30,test,persistence,243314,128669,5.977352742307782,0.10697992523451648,-0.8595835833450138
Lockwood Street,30,test,current_state_probability,243314,128669,5.977352742307782,0.06015863967687551,-0.04571038439454278
Lockwood Street,60,validation,hour_of_week,243302,48342,6.427123412353647,0.06095670585365232,0.0
Lockwood Street,60,validation,persistence,243302,48342,6.427123412353647,0.118509784452443,-0.944163202272885
Lockwood Street,60,validation,current_state_probability,243302,48342,6.427123412353647,0.06211823683233127,-0.019055015562481348
Lockwood Street,60,test,hour_of_week,243302,128663,5.977631486907658,0.05753014550299571,0.0
Lockwood Street,60,test,persistence,243302,128663,5.977631486907658,0.11090212415379713,-0.9277219479311456
Lockwood Street,60,test,current_state_probability,243302,128663,5.977631486907658,0.05820478720289228,-0.011726751149298442
Market Street,5,validation,hour_of_week,239478,52127,14.000422046156501,0.12045894367587913,0.0
Market Street,5,validation,persistence,239478,52127,14.000422046156501,0.0926199474360696,0.23110775663711924
Market Street,5,validation,current_state_probability,239478,52127,14.000422046156501,0.07514468573980514,0.37618010380368117
